State,Year,Month,Month_Num,Date,Month_Total,Group,Category,Total,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Construction Equipment Vehicle (Commercial),27,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Tractor (Commercial),8279,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Mobile Clinic,267,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Mobile Workshop,3,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Private Service Vehicle,112,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Maxi Cab,847,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Motor Cab,5374,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Bus,1150,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Educational Institution Bus,1997,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Ambulance,394,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Animal Ambulance,1,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Camper Van / Trailer,1,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Cash Van,42,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Fire Tenders,12,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Auxiliary Trailer,1,
Andhra Pradesh(84),2023,JAN,1,2023-01-01,70577,"Transport
1,01,898",-Fire Fighting Vehicle,3,
Andhra Pradesh(84),2023,FEB,2,2023-02-01,69217,"Transport
1,01,898",-Construction Equipment Vehicle (Commercial),27,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Construction Equipment Vehicle (Commercial),27,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Tractor (Commercial),8279,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Mobile Clinic,267,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Mobile Workshop,3,
Andhra Pradesh(84),2023,MAR,3,2023-03-01,73966,"Transport
1,01,898",-Private Service Vehicle,112,
